patient_id,coordinates,cluster_id
0,"(-9.818296338672093, 7.383064634178584)",8
1,"(-1.137900189268761, 7.494536797379245)",3
2,"(-7.1008756767649945, 9.281022001755831)",13
3,"(4.142918092606644, 1.1551533205865068)",5
4,"(9.6285712361147, 6.171422268850721)",10
5,"(-8.724466507862703, 3.3798841068158874)",12
6,"(-10.442984574855307, 8.034033123523997)",8
7,"(0.8970607128747193, 4.397755627203818)",0
8,"(5.260350998120112, 6.1922611129866425)",9
9,"(10.689919709842401, 6.701399741932427)",10
10,"(-1.0941741950889128, 3.3986033715246875)",2
11,"(3.489011366842263, 0.3290464195884033)",1
12,"(7.664270728112924, 3.5485117099280155)",19
13,"(-1.87489342540828, 5.566109410670604)",3
14,"(0.11096771502232283, 4.211259202524657)",0
15,"(11.344684736661788, 2.747920768803439)",19
16,"(-9.099872922231668, 1.6068102682208298)",17
17,"(-3.639399072743317, 5.090627002720793)",15
18,"(-2.00851347239827, 5.083641059520922)",11
19,"(3.738072111272274, 1.7005223436764632)",18
20,"(9.63746846765754, 6.1254207484702095)",10
21,"(6.127417597553644, 7.592286750943938)",9
22,"(-2.3700497769318085, 7.480999364053993)",11
23,"(-6.58122662148536, -9.264004983798012)",7
24,"(10.015937905377047, 6.636027181317089)",10
25,"(3.916597658488066, 3.879541419551634)",18
26,"(-0.14811753531752736, -1.2434059454146)",14
27,"(-1.5719454072647463, 4.712205716887578)",11
28,"(10.422642169197388, -2.957423318236673)",4
29,"(-8.64833371582995, -9.47261981028091)",7
30,"(-7.4918242176135825, -8.43695819715633)",7
31,"(0.5302736711580172, -0.4351930808316249)",16
32,"(1.1257049920143871, 2.8312428205969846)",18
33,"(-1.0333170358172006, 9.179386385796008)",3
34,"(-8.8067831488239, 1.6947600444645352)",12
35,"(7.955205841861448, -1.6713227263711017)",4
36,"(0.15681534612100878, 6.085080273640865)",11
37,"(10.708387466321186, -3.012372136846837)",4
38,"(2.001868563088283, 1.119543232946701)",1
39,"(-8.168161673044168, 8.223667803485673)",13
40,"(6.4406489537837075, 7.441635966158218)",9
41,"(0.12454088129290508, 6.12651092757635)",0
42,"(-5.991101292005177, 9.033955934318287)",13
43,"(-7.795423598260484, 8.642696868971168)",13
44,"(2.75610000987634, 2.368354356321704)",18
45,"(-4.888101147662437, 4.426015772677673)",15
46,"(8.78799490711107, 5.753997575498534)",10
47,"(9.599304082319444, -4.886622745593327)",4
48,"(-0.8850273465998264, 8.884807265743678)",3
49,"(-4.755647432692176, 5.437179012017638)",15
50,"(9.926376359316828, -1.5153587752954674)",4
51,"(-1.6257549977757109, 1.171850446738943)",16
52,"(6.7533573891131855, -0.6320574812213047)",5
53,"(-6.7915826906582035, 8.073509230906213)",13
54,"(6.391087227534425, 6.783636553989961)",9
55,"(-1.7908411668870927, 0.8662516503169226)",16
56,"(-8.507814701592332, 6.915943860797595)",8
57,"(11.002633454371972, 6.828527203206521)",10
58,"(-8.01479533538541, 6.437731968028604)",8
59,"(-2.697447051561899, 7.747151728602402)",3
60,"(-7.165522128346392, 6.777079232384578)",13
61,"(-9.385521730688493, 5.825364355168432)",8
62,"(-10.339938290911057, 3.342519830062648)",17
63,"(-5.911541191020675, 8.786440172113451)",13
64,"(3.1461035778661977, 1.8085932374496534)",1
65,"(-2.079640908922848, 2.48975329686784)",2
66,"(-9.050706201397924, 3.067210747876599)",17
67,"(-0.18572818704589733, 5.155269965016581)",3
68,"(-9.834138524097797, 7.500484709934933)",8
69,"(-3.505480246020892, 5.720715004487255)",15
70,"(0.28429412335565885, 8.070421708736959)",6
71,"(-1.3108747385407151, 8.170071614895873)",3
72,"(6.934913742781197, 7.852996286994081)",9
73,"(4.474429692974548, 7.187836145350551)",9
74,"(-7.879486381139139, 7.887091243536077)",8
75,"(-1.5897534801098079, 8.950474645504784)",3
76,"(-8.258061408043783, -7.149615585320373)",7
77,"(-0.7643348467865188, 2.2297660010836675)",2
78,"(9.550111040649622, -1.6512543971722948)",4
79,"(-0.8519753802376151, 4.597728677356024)",11
80,"(1.8226654826648758, 6.726496729266031)",6
81,"(-2.0759955720532455, 1.8120336661493486)",16
82,"(-7.355860771729359, 9.480612444885736)",13
83,"(-10.136516405185095, 7.281045094841598)",8
84,"(-0.3781888796467749, 0.822975934166559)",16
85,"(10.013984604255144, 5.738361626688946)",10
86,"(-8.52385389390734, 10.805662754824214)",13
87,"(-2.3834875633129524, 2.7693010634675956)",2
88,"(0.29146008409509916, 4.877804494929809)",11
89,"(-3.1627777508840884, 7.190797821730506)",3
90,"(8.117513989073961, 3.5329356522012305)",19
91,"(6.65215928228403, 0.037881227137196216)",5
92,"(-9.251081914376963, 9.442039726985982)",13
93,"(2.337222140645013, 1.7427277152260965)",1
94,"(3.068906547558882, 4.538846448984764)",18
95,"(1.467794794911799, 8.666066538378983)",6
96,"(-6.396999972942547, 9.812902509452654)",13
97,"(-6.357843386948576, 5.584043421652206)",15
98,"(3.704003832956606, 2.3100221065059445)",18
99,"(-8.606707247718536, 6.93594816972783)",8
100,"(9.501517964680557, -2.9885954496174922)",4
101,"(2.0271759376576957, 0.4863214755259442)",18
102,"(-1.244385543115843, 1.8273961905316882)",2
103,"(10.025425024214211, 4.647660390221995)",10
104,"(8.856742590248826, 2.674202771953517)",19
105,"(6.095558047838228, 1.353797722755055)",5
106,"(-0.9385088166016311, 4.938185755326566)",11
107,"(-2.7751819673131246, 5.421181400071841)",15
108,"(6.166383447686717, 0.9032720176605802)",5
109,"(-0.8963070866182157, 4.011620945024568)",11
110,"(-0.02976677937389649, 3.4822375018452574)",0
111,"(-6.311529327086658, 1.1511035135837504)",12
112,"(8.503828512278673, 3.190333257976043)",19
113,"(-7.108152435611072, 8.189346365183315)",13
114,"(9.564600637311507, -2.922940014506222)",4
115,"(-0.6490945933609755, -2.1069103793735033)",14
116,"(5.889327724189355, 1.372556535035565)",5
117,"(1.7856249619445403, 1.5214270709426359)",18
118,"(-1.8442772500545295, 2.2555008430560064)",2
119,"(0.7036531508894228, -1.5345354310230996)",14
120,"(1.4233745990032527, 4.4089414846145285)",18
121,"(7.53906576503546, 0.39468920004463215)",5
122,"(9.720366067802278, 6.159057901522272)",10
123,"(-4.28160189904553, 5.978361881648378)",15
124,"(8.473046177152073, -3.72577318724424)",4
125,"(-9.750920527892218, 1.7160640769426354)",17
126,"(-7.070418798302935, -7.3622263232583105)",7
127,"(-0.9244724772056674, 1.9688840112005983)",16
128,"(10.356044815037542, 6.524730855733399)",10
129,"(-2.673957390998541, 1.6727285693619163)",2
130,"(6.110526043051849, 8.098503260115208)",9
131,"(-8.334789012945716, -6.765627959346116)",7
132,"(0.024805280511212502, -1.347777698931694)",14
133,"(9.691738359859468, 5.962551739499088)",10
134,"(9.53649604711758, 2.784415865012378)",19
135,"(1.1700216360712388, -2.1085908501764434)",14
136,"(-7.649963495082087, 3.048975964526389)",12
137,"(8.15678047700048, -0.7659863756700631)",4
138,"(8.609999283428174, 6.581524084504042)",10
139,"(-10.313602984725968, 3.473857702433871)",17
140,"(-7.505994902416125, 8.811092630142562)",13
141,"(-8.019151890193086, 3.670153317708482)",12
142,"(-4.812811144000022, 5.70565398346698)",15
143,"(1.7729955532610726, 8.228208230898165)",6
144,"(-0.91286602450882, 0.3337265011833812)",16
145,"(-9.357731997616431, 5.6504822199770315)",8
146,"(2.6342478566272476, 7.000520727758193)",6
147,"(2.035876400031015, 5.045370685547902)",18
148,"(1.778487854294654, 7.721691490518379)",6
149,"(-8.740352562195442, -8.220215536396273)",7
150,"(2.974012216429555, 2.3245402359838443)",18
151,"(1.107251784117157, 5.9709465459087445)",0
152,"(1.6884674400161717, 1.020494376364788)",1
153,"(-6.01507503445716, 7.714904805333589)",13
154,"(-8.425747533917232, 9.278717380519259)",8
155,"(-1.320662745979209, -2.523229628945935)",14
156,"(5.058089094973271, -0.3476363630109546)",5
157,"(1.0968175621326197, -1.9754387235039945)",14
158,"(9.335389639864383, 3.089626253768038)",19
159,"(-7.688802330652917, 6.887875059049877)",8
160,"(2.275399213172506, 9.699529553737648)",6
161,"(0.19204869601211116, 5.035080948288758)",0
162,"(0.06846211403332236, 8.168227001812868)",3
163,"(-5.029157620299694, 4.851848360651458)",15
164,"(-0.25049099108864015, 2.92498936968472)",2
165,"(-0.6441686460544429, 1.523363355007318)",16
166,"(-2.5016586675245476, 3.8314256008496757)",11
167,"(-8.974332720097328, 7.217258044888234)",8
168,"(10.016614603034132, -2.7973422029358286)",4
169,"(-8.174969921865387, -7.262429465873154)",7
170,"(9.22561634920175, -3.773776537195629)",4
171,"(-5.898723966012492, 4.130339455754355)",15
172,"(-11.14301520418343, 0.5553019857265098)",17
173,"(1.8944935275501955, 2.212902868422554)",1
174,"(-8.31665138299737, 9.63941673109735)",13
175,"(7.828579544025459, 4.855083388441625)",19
176,"(0.597938889491415, 8.388166158060956)",3
177,"(-8.318051028274686, 3.0280275218374975)",12
178,"(-8.58921821441224, 0.5155342707028288)",12
179,"(4.087877852194053, 7.647461360831831)",9
180,"(-0.2865304749934716, 7.308215783976076)",3
181,"(4.760284037287817, 6.897637671035075)",9
182,"(-5.433453839896442, 5.801887967168268)",15
183,"(-0.9109246095730255, 4.262847262100106)",2
184,"(9.272672820722125, 2.8376999190342334)",19
185,"(-0.014919733641170385, 6.659598077682697)",3
186,"(-8.733827588487395, -8.027113203334558)",7
187,"(10.16195195281963, 4.244380325069751)",19
188,"(4.357552807717127, 1.6770626191324138)",5
189,"(-1.4284808309381893, 1.0007806881444554)",16
190,"(9.14033444528976, -2.1273347293352276)",4
191,"(-7.783816652256529, 10.358832988276797)",13
192,"(2.4106623116245074, 6.714929764948973)",6
193,"(-10.599434188811406, 1.4158441915504758)",17
194,"(-9.028694928485749, 0.45703116713673886)",12
195,"(0.34471569482680775, 8.119928578044247)",6
196,"(1.6479541927934616, 1.6222171135103411)",18
197,"(7.367856602496751, 2.4881954417702796)",5
198,"(-9.353157294457105, 7.116221105024669)",8
199,"(-9.00145262680368, 5.252635260639814)",12
200,"(0.9821740004983328, 4.945480372594549)",11
201,"(-10.999665039080192, 5.737512709334926)",8
202,"(-0.21527574078961687, 5.380605944171895)",11
203,"(1.422900692096067, 0.21418564197025147)",16
